Model,Accuracy,Precision,Recall,F1,AUC
Weighted Ensemble (Test),0.37335834896810505,0.3672696667731714,0.37181378268461845,0.3617318391563597,0.5314649741319813
XGBoost (Test),0.3602251407129456,0.359351955163967,0.35956345103042947,0.3550110885984472,0.5358479419708354
AdaBoost (Test),0.34709193245778613,0.3480589022757697,0.34700983152181286,0.3467436527612322,0.5130584891573976
CatBoost (Test),0.34146341463414637,0.3472262166723518,0.3383308035558182,0.31872993585323556,0.505998575322371
